Avg._Area_Income,Avg._Area_House_Age,Avg._Area_Number_of_Rooms,Avg._Area_Number_of_Bedrooms,Area_Population,Price,Address,Price_per_Bedroom
79545.46,5.68,7.01,4.09,23086.8,1059033.56,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101",258932.41
79248.64,6.0,6.73,3.09,40173.07,1505890.91,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958",487343.34
61287.07,5.87,8.51,5.13,36882.16,1058987.99,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489",206430.41
63345.24,7.19,5.59,3.26,34310.24,1260616.81,"USS Barnett
FPO AP 44820",386692.27
59982.2,5.04,7.84,4.23,26354.11,630943.49,"USNS Raymond
FPO AE 09386",149159.22
80175.75,4.99,6.1,4.04,26748.43,1068138.07,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077",264390.61
64698.46,6.03,8.15,3.41,60828.25,1502055.82,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247",440485.58
78394.34,6.99,6.62,2.42,36516.36,1573936.56,"972 Joyce Viaduct
Lake William, TN 17778-6483",650387.01
59927.66,5.36,6.39,2.3,29387.4,798869.53,"USS Gilbert
FPO AA 20957",347334.58
81885.93,4.42,8.17,6.1,40149.97,1545154.81,"Unit 9446 Box 0958
DPO AE 97025",253304.07
80527.47,8.09,5.04,4.1,47224.36,1707045.72,"6368 John Motorway Suite 700
Janetbury, NM 26854",416352.61
50593.7,4.5,7.47,4.49,34343.99,663732.4,"911 Castillo Park Apt. 717
Davisborough, PW 78603",147824.59
39033.81,7.67,7.25,3.1,39220.36,1042814.1,"209 Natasha Stream Suite 961
Huffmanland, NE 52457",336391.65
73163.66,6.92,5.99,2.27,32326.12,1291331.52,"829 Welch Track Apt. 992
North John, AR 26532-5136",568868.51
69391.38,5.34,8.41,4.37,35521.29,1402818.21,"PSC 5330, Box 4420
APO AP 08302",321011.03
73091.87,5.44,8.52,4.01,23929.52,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617",325854.03
79706.96,5.07,8.22,3.12,39717.81,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887",498970.06
61929.08,4.79,5.1,4.3,24595.9,528485.25,"5498 Rachel Locks
New Gregoryshire, PW 54755",122903.55
63508.19,5.95,7.19,5.12,35719.65,1019425.94,"Unit 7424 Box 2786
DPO AE 71255",199106.63
62085.28,5.74,7.09,5.49,44922.11,1030591.43,"19696 Benjamin Cape
Stephentown, ME 36952-4733",187721.57
86295.0,6.63,8.01,4.07,47560.78,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197",527500.08
60835.09,5.55,6.52,2.1,45574.74,929247.6,"USNS Brown
FPO AP 85833",442498.86
64490.65,4.21,5.48,4.31,40358.96,718887.23,"95198 Ortiz Key
Port Sara, TN 24541-2855",166795.18
60697.35,6.17,7.15,6.34,28140.97,743999.82,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804",117350.13
59748.86,5.34,7.75,4.23,27809.99,895737.13,"24282 Paul Valley
West Perry, MI 03169-5806",211758.19
56974.48,8.29,7.31,4.33,40694.87,1453974.51,"61938 Brady Falls
Lewisfort, DE 61227",335790.88
82173.63,4.02,6.99,2.03,38853.92,1125692.51,"3599 Ramirez Springs
Jacksonhaven, AZ 72798",554528.33
64626.88,5.44,6.99,4.0,27784.74,975429.49,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814",243857.37
90499.06,6.38,4.24,3.04,33970.16,1240763.77,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365",408145.98
59323.79,6.98,8.27,4.07,37520.66,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832",387473.65
77811.52,5.31,6.69,3.24,33754.74,1246830.19,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224",384824.13
68652.61,6.12,6.29,4.42,39355.63,1170720.89,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110",264868.98
55041.35,7.13,8.59,5.36,30122.47,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041",199865.52
50218.71,6.12,7.33,6.29,16810.78,534305.13,"039 Jordan Pike
Emilyville, ID 27442",84945.17
55909.32,5.42,9.29,6.0,22355.24,936368.96,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766",156061.49
74372.81,5.5,6.59,2.07,39395.15,1199193.83,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811",579320.69
78667.9,5.47,7.78,4.1,27637.66,1233220.01,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585",300785.37
78699.52,5.65,6.76,3.01,22836.61,1081150.13,"7585 Lynn Loop
East Judy, WV 73336",359186.09
53128.19,5.18,5.43,2.39,32947.71,524712.77,"Unit 1388 Box 9350
DPO AP 70848",219545.09
17796.63,4.95,6.71,2.5,47162.18,302355.84,"9932 Eric Circles
Lake Martha, WY 34611-6127",120942.34
58566.85,6.58,5.03,2.17,39705.46,1026817.4,"7896 Walker Spring
Loriport, MH 72956",473187.74
75537.79,7.85,7.56,6.3,32778.2,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155",279716.62
46147.05,6.62,7.61,4.43,27161.13,882057.17,"90634 Michelle Valleys
North Victoria, WV 99370",199109.97
70421.48,6.91,7.63,4.44,43183.93,1744932.21,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802",393002.75
62614.42,5.5,7.44,6.32,26888.58,1153871.47,"43087 Jerome Field
West Deborah, SD 49213",182574.6
66394.87,7.07,7.2,3.18,39741.08,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764",471694.62
73946.85,4.86,7.54,6.35,35261.13,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027",174738.33
69144.75,7.3,5.93,3.22,19030.62,980177.31,"Unit 8108 Box 5159
DPO AP 04678",304402.89
77278.7,6.24,6.92,2.13,21725.95,1323952.03,"08639 Garcia Port
Anthonybury, CT 17971",621573.72
86754.2,6.6,6.25,4.02,43017.44,1662494.74,"91863 Curtis Point
New Richard, AK 99996-7554",413555.91
74399.84,6.38,7.25,6.36,41084.66,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656",222927.63
49408.2,5.83,5.83,3.32,26881.13,549976.15,"7796 Joseph Burg
Danielsside, RI 70370",165655.47
62279.79,6.11,6.31,4.12,35263.65,1054770.98,"173 Mendoza Land
West John, NJ 57690",256012.37
73078.2,5.92,6.45,3.32,54915.96,1415647.55,"3288 Lee Pass
South Julieton, PW 02759-4964",426399.86
72942.71,4.79,7.32,6.41,24377.91,948788.28,"86908 Marshall Port Suite 252
Scotttown, NM 69143",148016.89
63819.62,5.95,8.02,4.09,27825.57,1159596.52,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266",283519.93
73265.45,8.31,7.43,3.24,21030.97,1547133.4,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754",477510.31
68488.13,6.12,7.18,5.08,18267.95,1186688.51,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955",233600.1
55193.86,7.19,5.1,4.01,32537.82,772111.97,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699",192546.63
77434.69,6.31,5.22,3.06,36252.34,1172730.16,"4872 Delgado Ramp
North James, IA 36544",383245.15
66158.88,4.48,6.91,2.28,37098.74,1111085.02,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536",487317.99
60502.91,7.53,5.73,4.23,33579.63,1022781.17,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884",241792.24
60910.89,5.64,7.33,4.2,43347.8,1274474.55,"PSC 9354, Box 0703
APO AA 58696-1278",303446.32
73931.98,6.39,4.58,4.32,36543.07,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847",280909.92
59539.95,6.02,7.01,5.43,58600.83,1411730.48,"122 Russo Neck
South Kevin, KY 20712-5282",259987.2
56547.51,5.44,6.52,3.13,37585.27,858685.57,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460",274340.44
65950.35,5.48,6.72,3.28,40110.85,1200961.82,"7125 Mullins Cliff
Maryborough, WY 66971",366146.9
74533.16,6.68,5.92,4.0,49481.57,1520234.23,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319",380058.56
